i: 84, n: 24, Target: 2633880204, Mean: 2071572268.0416667, Variance: 1260450157.1098983. Greedy Accuracy: 0.9964957870954103
i: 85, n: 25, Target: 3273546516, Mean: 2094064585.48, Variance: 1239889881.7499702. Greedy Accuracy: 0.9902343620768027
i: 86, n: 26, Target: 2380910189, Mean: 2139429275.1153846, Variance: 1236789326.074131. Greedy Accuracy: 0.982308567876854
i: 87, n: 27, Target: 598630825, Mean: 2148373012.6666665, Variance: 1214526230.6640334. Greedy Accuracy: 0.9726804028175462
i: 88, n: 28, Target: 1503135148, Mean: 2093025077.392857, Variance: 1226826959.392114. Greedy Accuracy: 0.991696696723108
i: 89, n: 29, Target: 3392306130, Mean: 2072684045.3448277, Variance: 1210284862.8916752. Greedy Accuracy: 0.988208659694283
i: 90, n: 20, Target: 2656174599, Mean: 1925926802.7, Variance: 1169090625.2226207. Greedy Accuracy: 0.9928548575055476
i: 91, n: 21, Target: 639031226, Mean: 1960700507.2857144, Variance: 1151465447.7070363. Greedy Accuracy: 0.6980385869281449
i: 92, n: 22, Target: 1454769105, Mean: 1900624630.8636363, Variance: 1158186974.0560298. Greedy Accuracy: 0.9787292265874727
i: 93, n: 23, Target: 2291886844, Mean: 1881239608.0, Variance: 1136372560.2641098. Greedy Accuracy: 0.9865256750869503
i: 94, n: 24, Target: 2341456427, Mean: 1898349909.5, Variance: 1115468596.525023. Greedy Accuracy: 0.9879396389040725
i: 95, n: 25, Target: 1534876046, Mean: 1916074170.2, Variance: 1096375377.4400637. Greedy Accuracy: 0.9985024536632843
i: 96, n: 26, Target: 743183253, Mean: 1901412703.8846154, Variance: 1077580932.0463557. Greedy Accuracy: 0.948347448835745
i: 97, n: 27, Target: 3047575536, Mean: 1858515316.8148148, Variance: 1079823506.4409137. Greedy Accuracy: 0.9993289761071241
i: 98, n: 28, Target: 2284495503, Mean: 1900981753.2142856, Variance: 1083082189.0617633. Greedy Accuracy: 0.9897175166380706
i: 99, n: 29, Target: 55914146, Mean: 1914206365.275862, Variance: 1066542718.9186385. Greedy Accuracy: 0.6084309863196337
