i, N, T, s_exh1, s_exh10, s_greedy, s_ILP, s_dp, s_local, t_exh1, t_exh10, t_greedy, t_ILP, t_dp, t_local
82, 22, 2934241198, False, False, 2901719955, 2930800000, False, -1, 10.494986095999934, 10.902423100000306, 0, 2.01425, 0.0012560739999998294, -1
83, 23, 1696434625, False, False, 1692611900, 1692610000, False, -1, 20.75482131900003, 21.544742370999757, 0, 1.62483, 0.0003335929999999099, -1
84, 24, 2633880204, False, False, 2624650527, 2633469200, False, -1, 42.72065410999994, 43.276319486999455, 0, 2.12263, 0.0011418860000000919, -1
85, 25, 3273546516, False, False, 3305514786, 3272484000, False, -1, 60.00011349500005, 87.08729294800014, 0, 2.46176, 0.0021707159999999615, -1
86, 26, 2380910189, False, False, 2423031900, 2379296000, False, -1, 60.00008512599993, 174.55362356799924, 0, 2.64897, 0.000823499999999866, -1
87, 27, 598630825, False, False, 582276472, 582276000, False, -1, 60.000113344000056, 350.8158603410002, 0, 0.020066, 9.999999999998899e-05, -1
88, 28, 1503135148, False, False, 1515616135, 1485870000, False, -1, 60.00016985499997, 600.0000839109998, 0, 1.6973, 0.0004012110000000124, -1
89, 29, 3392306130, False, False, 3352306294, 3391524200, False, -1, 60.00009090499998, 600.0001083480001, 0, 2.18855, 0.006156959000000128, -1
90, 20, 2656174599, False, False, 2637195853, 2654846400, False, -1, 2.8230267189999267, 2.5933058660002644, 0, 2.70228, 0.0009449219999999592, -1
91, 21, 639031226, False, False, 446068454, 368260400, False, -1, 5.543798795999919, 5.194383520999509, 0, 0.009216, 6.141000000003949e-05, -1
92, 22, 1454769105, False, False, 1423825041, 1442592000, False, -1, 10.979646306999939, 10.469617514000674, 0, 2.46297, 0.00034431400000012324, -1
93, 23, 2291886844, False, False, 2261005216, 2288814400, False, -1, 22.008233834999828, 21.08249804300067, 0, 1.7062, 0.0010724319999999565, -1
94, 24, 2341456427, False, False, 2369695237, 2341266400, False, -1, 43.63865051100015, 42.15423697500046, 0, 3.66072, 0.0011654749999998604, -1
95, 25, 1534876046, False, False, 1532577498, 1532578400, False, -1, 60.000083310000036, 83.43540664899956, 0, 1.14659, 0.00040086200000000183, -1
96, 26, 743183253, False, False, 704795942, 729071400, False, -1, 60.00008135300004, 167.53142962999937, 0, 0.023585, 0.00011896900000007982, -1
97, 27, 3047575536, False, False, 3045530540, 3046256000, False, -1, 60.00009967599999, 339.77023284699953, 0, 2.60174, 0.004900481999999817, -1
98, 28, 2284495503, False, False, 2261005216, 2282023400, False, -1, 60.00008660200001, 600.0001996850006, 0, 3.30051, 0.0014756129999999867, -1
99, 29, 55914146, False, False, 77808393, 0, False, -1, 60.00008329000002, 600.0000935920007, 0, 3.30051, 2.8200000000033754e-05, -1
